scenario,policy,metric,n,mean,std,median,p95,p99,cv
A,fifo,mean_ms,50,0.415,0.002,0.414,0.418,0.425,0.00562
A,sff,mean_ms,50,0.414,0.001,0.414,0.415,0.416,0.00204
A,fifo,throughput_rps,50,99.996,0.003,99.996,99.999,100.0,3e-05
A,sff,throughput_rps,50,99.996,0.002,99.996,99.999,100.0,2e-05
B,fifo,mean_ms,50,0.549,0.008,0.546,0.563,0.565,0.01522
B,sff,mean_ms,50,0.55,0.01,0.546,0.564,0.576,0.01788
B,fifo,throughput_rps,50,99.995,0.002,99.995,100.0,100.0,2e-05
B,sff,throughput_rps,50,99.996,0.002,99.996,100.0,100.0,2e-05
C,fifo,mean_ms,50,0.491,0.002,0.491,0.495,0.497,0.00442
C,sff,mean_ms,50,0.49,0.002,0.49,0.495,0.496,0.00452
C,fifo,throughput_rps,50,499.995,0.003,499.994,499.999,500.0,1e-05
C,sff,throughput_rps,50,499.996,0.003,499.996,500.0,500.0,1e-05
